sep=,
DeviceTag:,Xsens
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-03_10:37:15_065 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
134,153359995,0.925249,-0.012262,-0.043711,0.376633,0.018872,-0.574383,0.161321
135,153376662,0.925214,-0.012381,-0.043357,0.376757,-0.094401,-0.526990,0.245682
136,153393329,0.925129,-0.012741,-0.043042,0.376990,-0.056027,-0.680360,0.257155
137,153409996,0.925031,-0.012946,-0.042645,0.377269,-0.070169,-0.838756,0.275219
138,153426663,0.924966,-0.013006,-0.042507,0.377441,-0.090339,-0.862170,0.338849
139,153443330,0.924932,-0.012781,-0.042600,0.377521,-0.021763,-0.807331,0.246196
140,153459997,0.924858,-0.012502,-0.042542,0.377719,-0.041909,-0.695354,0.223889
141,153476664,0.924695,-0.012301,-0.042628,0.378114,-0.032186,-0.663228,0.201317
142,153493331,0.924497,-0.012186,-0.042543,0.378611,0.020807,-0.654940,0.188354
143,153509998,0.924346,-0.011983,-0.042244,0.379021,-0.037338,-0.597372,0.197432
144,153526665,0.924230,-0.012121,-0.041958,0.379330,-0.036230,-0.630814,0.244122
145,153543332,0.924135,-0.012067,-0.041389,0.379626,-0.060047,-0.656003,0.239824
146,153559999,0.924030,-0.012084,-0.040979,0.379924,-0.140396,-0.697441,0.320598
147,153576666,0.923931,-0.012162,-0.040801,0.380183,-0.055220,-0.688745,0.275726
148,153593333,0.923905,-0.012127,-0.040406,0.380289,-0.045003,-0.602619,0.253926
149,153610000,0.923898,-0.012280,-0.039973,0.380346,-0.084605,-0.562245,0.237730
150,153626667,0.923883,-0.012547,-0.039476,0.380427,-0.105862,-0.595223,0.237048
151,153643334,0.923815,-0.012872,-0.039002,0.380629,-0.113940,-0.648218,0.245998
152,153660001,0.923683,-0.013258,-0.038679,0.380970,-0.058323,-0.764815,0.238376
153,153676668,0.923564,-0.013348,-0.038419,0.381281,-0.024727,-0.766373,0.273430
154,153693335,0.923487,-0.013428,-0.038099,0.381496,0.026967,-0.708946,0.216593
155,153710002,0.923401,-0.013358,-0.037517,0.381766,-0.040155,-0.622611,0.190572
156,153726669,0.923244,-0.013440,-0.036759,0.382217,-0.132868,-0.653503,0.224838
157,153743336,0.923038,-0.013669,-0.036279,0.382751,-0.160995,-0.759451,0.272291
158,153760003,0.922887,-0.013849,-0.036095,0.383125,-0.088950,-0.857930,0.233013
