sep=,
DeviceTag:,Xsens
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-03_10:38:19_179 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
102,216937326,0.930015,0.217716,0.009445,0.295945,-0.108776,-0.646869,0.220033
103,216953993,0.929950,0.217991,0.009447,0.295945,-0.153432,-0.582710,0.211184
104,216970660,0.929900,0.218240,0.009364,0.295922,-0.137518,-0.591696,0.240632
105,216987327,0.929815,0.218521,0.009252,0.295985,-0.114805,-0.643330,0.232849
106,217003994,0.929701,0.218932,0.009197,0.296041,-0.160450,-0.617109,0.248293
107,217020661,0.929596,0.219280,0.009084,0.296116,-0.173213,-0.558414,0.241334
108,217037328,0.929504,0.219536,0.008928,0.296221,-0.214319,-0.610603,0.244955
109,217053995,0.929429,0.219795,0.008729,0.296270,-0.135737,-0.612037,0.194667
110,217070662,0.929369,0.220075,0.008556,0.296254,-0.129570,-0.610868,0.239764
111,217087329,0.929293,0.220432,0.008409,0.296234,-0.146124,-0.626826,0.242205
112,217103996,0.929231,0.220711,0.008192,0.296226,-0.197011,-0.662173,0.243346
113,217120663,0.929172,0.220955,0.007937,0.296237,-0.114806,-0.673530,0.299391
114,217137330,0.929105,0.221167,0.007789,0.296292,-0.078931,-0.661006,0.275931
115,217153997,0.929045,0.221442,0.007807,0.296272,-0.118387,-0.654733,0.192273
116,217170664,0.928966,0.221879,0.007895,0.296191,-0.206103,-0.552775,0.256897
117,217187331,0.928926,0.222136,0.007971,0.296122,-0.250864,-0.543017,0.243475
118,217203998,0.928876,0.222280,0.007812,0.296177,-0.210260,-0.624063,0.224410
119,217220665,0.928816,0.222515,0.007729,0.296190,-0.109644,-0.603583,0.193241
120,217237332,0.928744,0.222742,0.007699,0.296246,-0.148296,-0.592611,0.239902
121,217253999,0.928700,0.222823,0.007625,0.296323,-0.086109,-0.688354,0.246392
122,217270666,0.928642,0.223083,0.007704,0.296307,-0.085591,-0.734297,0.210158
123,217287333,0.928577,0.223369,0.007732,0.296295,-0.166544,-0.707562,0.253782
124,217304000,0.928511,0.223675,0.007673,0.296273,-0.136751,-0.695822,0.157876
125,217320667,0.928423,0.224116,0.007713,0.296215,-0.159795,-0.648204,0.217197
126,217337334,0.928346,0.224392,0.007704,0.296246,-0.166435,-0.615231,0.279539
127,217354001,0.928281,0.224558,0.007691,0.296328,-0.145967,-0.651853,0.252611
128,217370668,0.928186,0.224774,0.007737,0.296460,-0.190617,-0.692570,0.236580
129,217387335,0.928125,0.224910,0.007730,0.296547,-0.134574,-0.655477,0.251195
130,217404002,0.928044,0.225049,0.007700,0.296694,-0.191572,-0.699793,0.248041
131,217420669,0.927989,0.225123,0.007573,0.296815,-0.118724,-0.739994,0.203548
132,217437336,0.927925,0.225214,0.007527,0.296948,-0.126333,-0.694314,0.196001
133,217454003,0.927852,0.225428,0.007567,0.297012,-0.224438,-0.626102,0.207794
134,217470670,0.927818,0.225510,0.007468,0.297057,-0.223646,-0.595182,0.242415
135,217487337,0.927781,0.225582,0.007362,0.297121,-0.191226,-0.638963,0.211712
136,217504004,0.927734,0.225665,0.007255,0.297207,-0.210298,-0.653456,0.265059
137,217520671,0.927676,0.225740,0.007089,0.297334,-0.171025,-0.647050,0.244491
138,217537338,0.927625,0.225803,0.006904,0.297450,-0.183305,-0.691824,0.245204
139,217554005,0.927581,0.225837,0.006747,0.297568,-0.155122,-0.716205,0.253448
140,217570672,0.927540,0.225890,0.006662,0.297654,-0.193835,-0.745981,0.235436
141,217587339,0.927495,0.226007,0.006599,0.297708,-0.202161,-0.723607,0.197202
142,217604006,0.927445,0.226163,0.006530,0.297749,-0.185347,-0.670941,0.238591
